# MsuH m_ini logL logTe M_ass b_ass y_ass m_app b-y dist abs_dist ID_parent age_parent
0.28 2.31633 1.696 3.8475 0.45 0.659 0.433 6.37744974744 0.271987435897 143.4808 143.4808 4222249871.0 0.7420484
0.44 2.16245 1.468 3.8049 1.05 1.361 1.032 3.63819747799 0.339399102564 32.4452 32.4452 3150372412.0 1.010928
0.51 0.96579 -0.332 3.7154 5.773 6.274 5.738 5.66734973993 0.539039615385 9.4836 9.4836 4223611900.0 0.05152938
-0.1 1.01151 0.085 3.7798 4.595 4.951 4.575 5.8203104608 0.381590096154 17.4411 17.4411 3148632240.0 3.687081
-0.45 0.95608 0.192 3.7971 4.337 4.657 4.319 3.44003225566 0.340114134615 -6.5961 6.5961 1002464654.0 4.605646
-0.72 0.77927 -0.259 3.7634 5.513 5.895 5.494 4.95298381363 0.40346775641 7.6994 7.6994 3151043275.0 5.079392
-0.14 1.00375 -0.029 3.7755 4.888 5.251 4.868 6.45051496204 0.389520480769 20.3439 20.3439 1001916133.0 0.5981947
0.51 1.22852 0.349 3.7567 3.938 4.365 3.917 7.14006663552 0.461730641026 -42.8396 42.8396 4222692750.0 4.682554
-0.35 0.83896 -0.286 3.7491 5.581 5.99 5.56 7.3155620235 0.437052724359 -22.0045 22.0045 1001282590.0 2.273063
0.51 5.4003 3.039 4.1884 -1.616 -1.69 -1.627 7.31345161672 0.0933721794872 487.8812 487.8812 4222937125.0 0.03469139
-0.14 0.92464 -0.217 3.7529 5.393 5.799 5.372 5.19051509861 0.429907596154 -9.0717 9.0717 1001312404.0 0.1553512
0.69 1.18955 0.194 3.7686 4.295 4.698 4.273 4.57817300448 0.428632564103 -11.3336 11.3336 4223791075.0 1.704587
0.17 0.7808 -0.671 3.6728 6.842 7.399 6.785 6.6280194332 0.616892307692 -9.024 9.024 1002472776.0 0.8272673
0.33 1.3741 0.578 3.7999 3.306 3.629 3.287 6.45202879174 0.355387435897 41.7688 41.7688 3151013598.0 2.181589
0.51 2.24029 1.34 3.9552 1.454 1.476 1.438 6.91425186976 0.0755380769231 -117.1188 117.1188 4222937125.0 0.03469139
0.17 0.71139 -0.832 3.6398 7.487 8.134 7.419 6.6555435813 0.717178685897 6.7975 6.7975 4221307388.0 4.133433
0.07 1.09312 0.239 3.7833 4.194 4.545 4.175 3.29227211432 0.372109519231 -6.5817 6.5817 3148571409.0 4.395058
